Name,Value,Race,Index,Winner,Role,Film
Emil Jannings,1927,White,1,Winner,Grand Duke Sergius AlexanderAugust Schilling,"The Last Command, The Way of All Flesh"
Richard Barthelmess,1927,White,2,Non-Winner,Nickie ElkinsPatent Leather Kid,"The NooseThe Patent,  Leather Kid"
Warner Baxter,1928,White,1,Winner,The Cisco Kid,In Old Arizona
George Bancroft,1928,White,2,Non-Winner,Thunderbolt Jim Lang,Thunderbolt
Chester Morris,1928,White,3,Non-Winner,Chick Williams,Alibi
Paul Muni,1928,White,4,Non-Winner,James Dyke,The Valiant
Lewis Stone,1928,White,5,Non-Winner,Count Pahlen,The Patriot
George Arliss,1929,White,1,Winner,Benjamin Disraeli,Disraeli
George Arliss,1929,White,2,Non-Winner,The Raja,The Green Goddess
Wallace Beery,1929,White,3,Non-Winner,Butch Machine Gun Schmidt,The Big House
Maurice Chevalier,1929,White,4,Non-Winner,Pierre MirandeCount Alfred Renard,The Big PondThe Love Parade
Ronald Colman,1929,White,5,Non-Winner,Capt Hugh Bulldog DrummondMichel,Bulldog DrummondCondemned
Lawrence Tibbett,1929,White,6,Non-Winner,Yegor,The Rogue Song
Lionel Barrymore,1930,White,1,Winner,Stephen Ashe,A Free Soul
Jackie Cooper,1930,White,2,Non-Winner,Skippy Skinner,Skippy
Richard Dix,1930,White,3,Non-Winner,Yancey Cravat,Cimarron
Fredric March,1930,White,4,Non-Winner,Tony Cavendish,The Royal Family of Broadway
Adolphe Menjou,1930,White,5,Non-Winner,Walter Burns,The Front Page
Wallace Beery,1931,White,1,Winner,Andy Champ Purcell,The Champ
Fredric March,1931,White,2,Winner,Dr Henry Jekyll Mr Edward Hyde,Dr Jekyll and Mr Hyde
Alfred Lunt,1931,White,3,Non-Winner,The Actor,The Guardsman
Charles Laughton,1932,White,1,Winner,King Henry VIII of England,The Private Life of Henry VIII
Leslie Howard,1932,White,2,Non-Winner,Peter Standish,Berkeley Square
Paul Muni,1932,White,3,Non-Winner,James Allen,I Am a Fugitive from a Chain Gang
Clark Gable,1934,White,1,Winner,Peter Warne,It Happened One Night
Frank Morgan,1934,White,2,Non-Winner,Alessandro Duke of Florence,The Affairs of Cellini
William Powell,1934,White,3,Non-Winner,Nick Charles,The Thin Man
Victor McLaglen,1935,White,1,Winner,Gypo Nolan,The Informer
Clark Gable,1935,White,2,Non-Winner,Lieutenant Fletcher Christian,Mutiny on the Bounty
Charles Laughton,1935,White,3,Non-Winner,Captain William Bligh,
Paul Muni,1935,White,4,Non-Winner,Joe Radek,Black Fury
Franchot Tone,1935,White,5,Non-Winner,Midshipman Roger Byam,Mutiny on the Bounty
Paul Muni,1936,White,1,Winner,Louis Pasteur,The Story of Louis Pasteur
Gary Cooper,1936,White,2,Non-Winner,Longfellow Deeds,Mr Deeds Goes to Town
Walter Huston,1936,White,3,Non-Winner,Sam Dodsworth,Dodsworth
William Powell,1936,White,4,Non-Winner,Godfrey Park,My Man Godfrey
Spencer Tracy,1936,White,5,Non-Winner,Father Tim Mullin,San Francisco
Spencer Tracy,1937,White,1,Winner,Manuel Fidello,Captains Courageous
Charles Boyer,1937,White,2,Non-Winner,Emperor Napoleon Bonaparte,Conquest
Fredric March,1937,White,3,Non-Winner,Norman Maine,A Star Is Born
Robert Montgomery,1937,White,4,Non-Winner,Danny,Night Must Fall
Paul Muni,1937,White,5,Non-Winner,mile Zola,The Life of Emile Zola
Spencer Tracy,1938,White,1,Winner,Father Flanagan,Boys Town
Charles Boyer,1938,White,2,Non-Winner,Pepe le Moko,Algiers
James Cagney,1938,White,3,Non-Winner,Rocky Sullivan,Angels with Dirty Faces
Robert Donat,1938,White,4,Non-Winner,Dr Andrew Manson,The Citadel
Leslie Howard,1938,White,5,Non-Winner,Professor Henry Higgins,Pygmalion
Robert Donat,1939,White,1,Winner,Charles Edward Chipping,Goodbye Mr Chips
Clark Gable,1939,White,2,Non-Winner,Rhett Butler,Gone with the Wind
Laurence Olivier,1939,White,3,Non-Winner,Heathcliff,Wuthering Heights
Mickey Rooney,1939,White,4,Non-Winner,Mickey Moran,Babes in Arms
James Stewart,1939,White,5,Non-Winner,Jefferson Smith,Mr Smith Goes to Washington
James Stewart,1940,White,1,Winner,Macaulay Mike Connor,The Philadelphia Story
Charlie Chaplin,1940,White,2,Non-Winner,Adenoid Hynkel The Barber,The Great Dictator
Henry Fonda,1940,White,3,Non-Winner,Tom Joad,The Grapes of Wrath
Raymond Massey,1940,White,4,Non-Winner,Abraham Lincoln,Abe Lincoln in Illinois
Laurence Olivier,1940,White,5,Non-Winner,Maximilian Maxim de Winter,Rebecca
Gary Cooper,1941,White,1,Winner,Sgt Alvin York,Sergeant York
Cary Grant,1941,White,2,Non-Winner,Roger Adams,Penny Serenade
Walter Huston,1941,White,3,Non-Winner,Mr Scratch,The Devil and Daniel Webster
Robert Montgomery,1941,White,4,Non-Winner,Joe Pendleton,Here Comes Mr Jordan
Orson Welles,1941,White,5,Non-Winner,Charles Foster Kane,Citizen Kane
James Cagney,1942,White,1,Winner,George M Cohan,Yankee Doodle Dandy
Ronald Colman,1942,White,2,Non-Winner,Charles Rainier,Random Harvest
Gary Cooper,1942,White,3,Non-Winner,Lou Gehrig,The Pride of the Yankees
Walter Pidgeon,1942,White,4,Non-Winner,Clem Miniver,Mrs Miniver
Monty Woolley,1942,White,5,Non-Winner,Howard,The Pied Piper
Paul Lukas,1943,White,1,Winner,Kurt Muller,Watch on the Rhine
Humphrey Bogart,1943,White,2,Non-Winner,Rick Blaine,Casablanca
Gary Cooper,1943,White,3,Non-Winner,Robert Jordan,For Whom the Bell Tolls
Walter Pidgeon,1943,White,4,Non-Winner,Pierre Curie,Madame Curie
Mickey Rooney,1943,White,5,Non-Winner,Homer Macauley,The Human Comedy
Bing Crosby,1944,White,1,Winner,Father Chuck OMalley,Going My Way
Charles Boyer,1944,White,2,Non-Winner,Gregory Anton,Gaslight
Barry Fitzgerald,1944,White,3,Non-Winner,Father Fitzgibbon,Going My Way
Cary Grant,1944,White,4,Non-Winner,Ernie Mott,None but the Lonely Heart
Alexander Knox,1944,White,5,Non-Winner,Woodrow Wilson,Wilson
