Name,Value,Race,Index,Winner,Role,Film
Janet Gaynor,1927,White,1,Winner,DianeAngelaThe Wife,"7th HeavenStreet Angel, Sunrise A Song of Two Humans"
Louise Dresser,1927,White,2,Non-Winner,Mrs Pleznik,A Ship Comes In
Gloria Swanson,1927,White,3,Non-Winner,Sadie Thompson,Sadie Thompson
Mary Pickford,1928,White,1,Winner,Norma Besant,Coquette
Ruth Chatterton,1928,White,2,Non-Winner,Jacqueline Floriot,Madame X
Betty Compson,1928,White,3,Non-Winner,Carrie,The Barker
Jeanne Eagels,1928,White,4,Non-Winner,Leslie Crosbie,The Letter
Corinne Griffith,1928,White,5,Non-Winner,Emma Hamilton,The Divine Lady
Bessie Love,1928,White,6,Non-Winner,Hank Mahoney,The Broadway Melody
Norma Shearer A,1929,White,1,Winner,Jerry Bernard Martin,The Divorcee
Nancy Carroll,1929,White,2,Non-Winner,Hallie Hobart,The Devils Holiday
Ruth Chatterton,1929,White,3,Non-Winner,Sarah Storm,Sarah and Son
Greta GarboA,1929,White,4,Non-Winner,Anna ChristieMadame Rita Cavallini,Anna ChristieRomance
Norma Shearer,1929,White,5,Non-Winner,Lucia Marlett,Their Own Desire
Gloria Swanson,1929,White,6,Non-Winner,Marion Donnell,The Trespasser
Marie Dressler,1930,White,1,Winner,Min Divot,Min and Bill
Marlene Dietrich,1930,White,2,Non-Winner,Mademoiselle Amy Jolly,Morocco
Irene Dunne,1930,White,3,Non-Winner,Sabra Cravat,Cimarron
Ann Harding,1930,White,4,Non-Winner,Linda Seton,Holiday
Norma Shearer,1930,White,5,Non-Winner,Jan Ashe,A Free Soul
Helen Hayes,1931,White,1,Winner,Madelon Claudet,The Sin of Madelon Claudet
Marie Dressler,1931,White,2,Non-Winner,Emma Thatcher Smith,Emma
Lynn Fontanne,1931,White,3,Non-Winner,The Actress,The Guardsman
Katharine Hepburn,1932,White,1,Winner,Eva Lovelace,Morning Glory
May Robson,1932,White,2,Non-Winner,Apple Annie,Lady for a Day
Diana Wynyard,1932,White,3,Non-Winner,Jane Marryot,Cavalcade
Claudette Colbert,1934,White,1,Winner,Ellie Andrews,It Happened One Night
Grace Moore,1934,White,2,Non-Winner,Mary Barrett,One Night of Love
Norma Shearer,1934,White,3,Non-Winner,Elizabeth Barrett,The Barretts of Wimpole Street
Bette Davis Writein B,1934,White,4,Non-Winner,Mildred Rogers,Of Human Bondage
Merle Oberon,1935,Non-White,1,Non-Winner,Kitty Vane,The Dark Angel
Bette Davis,1935,White,1,Winner,Joyce Heath,Dangerous
