Name,Value,Race,Gender,Index,Winner,Role,Film
Frank Borzage Dramatic Picture,1927,White,Male,1,Winner,Frank Borzage,7th Heaven
Herbert Brenon Dramatic Picture,1927,White,Male,2,Non-Winner,Herbert Brenon,Sorrell and Son
King Vidor Dramatic Picture,1927,White,Male,3,Non-Winner,King Vidor,The Crowd
Lewis Milestone Comedy Picture,1927,White,Male,4,Winner,Lewis Milestone,Two Arabian Knights
Ted Wilde Comedy Picture,1927,White,Male,5,Non-Winner,Ted Wilde,Speedy
Frank Lloyd,1928,White,Male,1,Winner,Frank Lloyd,The Divine Lady
Lionel Barrymore,1928,White,Male,2,Non-Winner,Lionel Barrymore,Madame X
Harry Beaumont,1928,White,Male,3,Non-Winner,Harry Beaumont,The Broadway Melody
Irving Cummings,1928,White,Male,4,Non-Winner,Irving Cummings,In Old Arizona
Frank Lloyd,1928,White,Male,5,Non-Winner,Frank Lloyd,Drag
,1928,White,Male,6,Non-Winner,,Weary River
Ernst Lubitsch,1928,White,Male,7,Non-Winner,Ernst Lubitsch,The Patriot
Lewis Milestone,1929,White,Male,1,Winner,Lewis Milestone,All Quiet on the Western Front
Clarence Brown,1929,White,Male,2,Non-Winner,Clarence Brown,Anna Christie
,1929,White,Male,3,Non-Winner,,Romance
Robert Z Leonard,1929,White,Male,4,Non-Winner,Robert Z Leonard,The Divorcee
Ernst Lubitsch,1929,White,Male,5,Non-Winner,Ernst Lubitsch,The Love Parade
King Vidor,1929,White,Male,6,Non-Winner,King Vidor,Hallelujah
Norman Taurog,1930,White,Male,1,Winner,Norman Taurog,Skippy
Clarence Brown,1930,White,Male,2,Non-Winner,Clarence Brown,A Free Soul
Lewis Milestone,1930,White,Male,3,Non-Winner,Lewis Milestone,The Front Page
Wesley Ruggles,1930,White,Male,4,Non-Winner,Wesley Ruggles,Cimarron
Josef von Sternberg,1930,White,Male,5,Non-Winner,Josef von Sternberg,Morocco
Frank Borzage,1931,White,Male,1,Winner,Frank Borzage,Bad Girl
King Vidor,1931,White,Male,2,Non-Winner,King Vidor,The Champ
Josef von Sternberg,1931,White,Male,3,Non-Winner,Josef von Sternberg,Shanghai Express
Frank Lloyd,1932,White,Male,1,Winner,Frank Lloyd,Cavalcade
Frank Capra,1932,White,Male,2,Non-Winner,Frank Capra,Lady for a Day
George Cukor,1932,White,Male,3,Non-Winner,George Cukor,Little Women
Frank Capra,1934,White,Male,1,Winner,Frank Capra,It Happened One Night
Victor Schertzinger,1934,White,Male,2,Non-Winner,Victor Schertzinger,One Night of Love
W S Van Dyke,1934,White,Male,3,Non-Winner,W S Van Dyke,The Thin Man
John Ford,1935,White,Male,1,Winner,John Ford,The Informer
Henry Hathaway,1935,White,Male,2,Non-Winner,Henry Hathaway,The Lives of a Bengal Lancer
Frank Lloyd,1935,White,Male,3,Non-Winner,Frank Lloyd,Mutiny on the Bounty
Frank Capra,1936,White,Male,1,Winner,Frank Capra,Mr Deeds Goes to Town
Gregory La Cava,1936,White,Male,2,Non-Winner,Gregory La Cava,My Man Godfrey
Robert Z Leonard,1936,White,Male,3,Non-Winner,Robert Z Leonard,The Great Ziegfeld
W S Van Dyke,1936,White,Male,4,Non-Winner,W S Van Dyke,San Francisco
William Wyler,1936,White,Male,5,Non-Winner,William Wyler,Dodsworth
Leo McCarey,1937,White,Male,1,Winner,Leo McCarey,The Awful Truth
