Name,Value,Race,Index,Winner,Role,Film
Walter Brennan,1936,White,1,Winner,Swan Bostrom,Come and Get It
Mischa Auer,1936,White,2,Non-Winner,Carlo,My Man Godfrey
Stuart Erwin,1936,White,3,Non-Winner,Amos Dodd,Pigskin Parade
Basil Rathbone,1936,White,4,Non-Winner,Tybalt Nephew to Lady Capulet,Romeo and Juliet
Akim Tamiroff,1936,White,5,Non-Winner,General Yang,The General Died at Dawn
Joseph Schildkraut,1937,White,1,Winner,Capt Alfred Dreyfus,The Life of Emile Zola
Ralph Bellamy,1937,White,2,Non-Winner,Dan Leeson,The Awful Truth
Thomas Mitchell,1937,White,3,Non-Winner,Dr Kersaint,The Hurricane
H B Warner,1937,White,4,Non-Winner,Chang,Lost Horizon
Roland Young,1937,White,5,Non-Winner,Cosmo Topper,Topper
Walter Brennan,1938,White,1,Winner,Peter Goodwin,Kentucky
John Garfield,1938,White,2,Non-Winner,Mickey Borden,Four Daughters
Gene Lockhart,1938,White,3,Non-Winner,Regis,Algiers
Robert Morley,1938,White,4,Non-Winner,King Louis XVI,Marie Antoinette
Basil Rathbone,1938,White,5,Non-Winner,King Louis XI,If I Were King
Thomas Mitchell,1939,White,1,Winner,Dr Josiah Boone,Stagecoach
Brian Aherne,1939,White,2,Non-Winner,Emperor Maximilian von Habsburg,Juarez
Harry Carey,1939,White,3,Non-Winner,President of the Senate,Mr Smith Goes to Washington
Brian Donlevy,1939,White,4,Non-Winner,Sgt Markoff,Beau Geste
Claude Rains,1939,White,5,Non-Winner,Sen Joseph Harrison Paine,Mr Smith Goes to Washington
Walter Brennan,1940,White,1,Winner,Judge Roy Bean,The Westerner
Albert Bassermann,1940,White,2,Non-Winner,Van Meer,Foreign Correspondent
William Gargan,1940,White,3,Non-Winner,Joe,They Knew What They Wanted
Jack Oakie,1940,White,4,Non-Winner,Benzini Napaloni Dictator of Bacteria,The Great Dictator
James Stephenson,1940,White,5,Non-Winner,Howard Joyce,The Letter
Donald Crisp,1941,White,1,Winner,Gwilym Morgan,How Green Was My Valley
Walter Brennan,1941,White,2,Non-Winner,Pastor Rosier Pile,Sergeant York
Charles Coburn,1941,White,3,Non-Winner,John P Merrick,The Devil and Miss Jones
James Gleason,1941,White,4,Non-Winner,Max Corkle,Here Comes Mr Jordan
Sydney Greenstreet,1941,White,5,Non-Winner,Kasper Gutman,The Maltese Falcon
Van Heflin,1942,White,1,Winner,Jeff Hartnett,Johnny Eager
William Bendix,1942,White,2,Non-Winner,Pvt Aloysius Smacksie Randall,Wake Island
Walter Huston,1942,White,3,Non-Winner,Jerry Cohan,Yankee Doodle Dandy
Frank Morgan,1942,White,4,Non-Winner,The Pirate,Tortilla Flat
Henry Travers,1942,White,5,Non-Winner,James Ballard,Mrs Miniver
Charles Coburn,1943,White,1,Winner,Benjamin Dingle,The More the Merrier
Charles Bickford,1943,White,2,Non-Winner,Father Peyramale,The Song of Bernadette
J Carrol Naish,1943,White,3,Non-Winner,Giuseppe,Sahara
Claude Rains,1943,White,4,Non-Winner,Capt Louis Renault,Casablanca
Akim Tamiroff,1943,White,5,Non-Winner,Pablo,For Whom the Bell Tolls
Barry Fitzgerald,1944,White,1,Winner,Father Fitzgibbon,Going My Way
Hume Cronyn,1944,White,2,Non-Winner,Paul Roeder,The Seventh Cross
Claude Rains,1944,White,3,Non-Winner,Job Skeffington,Mr Skeffington
Clifton Webb,1944,White,4,Non-Winner,Waldo Lydecker,Laura
Monty Woolley,1944,White,5,Non-Winner,Colonel William G Smollett,Since You Went Away
James Dunn,1945,White,1,Winner,Johnny Nolan,A Tree Grows in Brooklyn
Michael Chekhov,1945,White,2,Non-Winner,Dr Alexander Alex Brulov,Spellbound
John Dall,1945,White,3,Non-Winner,Morgan Evans,The Corn Is Green
Robert Mitchum,1945,White,4,Non-Winner,Lt Capt Bill Walker,G I Joe
J Carrol Naish,1945,White,5,Non-Winner,Charley Martin,A Medal for Benny
Harold Russell,1946,White,1,Winner,Homer Parrish,The Best Years of Our Lives
Charles Coburn,1946,White,2,Non-Winner,Alexander Gow,The Green Years
William Demarest,1946,White,3,Non-Winner,Steve Martin,The Jolson Story
Claude Rains,1946,White,4,Non-Winner,Alexander Sebastian,Notorious
Clifton Webb,1946,White,5,Non-Winner,Elliott Templeton,The Razors Edge
Edmund Gwenn,1947,White,1,Winner,Kris Kringle,Miracle on th Street
Charles Bickford,1947,White,2,Non-Winner,Joseph Clancy,The Farmers Daughter
