Name,Value,Race,Index,Winner,Role,Film
Gale Sondergaard,1936,White,1,Winner,Faith Paleologus,Anthony Adverse
Beulah Bondi,1936,White,2,Non-Winner,Rachel Jackson,The Gorgeous Hussy
Alice Brady,1936,White,3,Non-Winner,Angelica Bullock,My Man Godfrey
Bonita Granville,1936,White,4,Non-Winner,Mary Tilford,These Three
Maria Ouspenskaya,1936,White,5,Non-Winner,Baroness von Obersdorf,Dodsworth
Alice Brady,1937,White,1,Winner,Molly OLeary,In Old Chicago
Andrea Leeds,1937,White,2,Non-Winner,Kay Hamilton,Stage Door
Anne Shirley,1937,White,3,Non-Winner,Laurel Lollie Dallas,Stella Dallas
Claire Trevor,1937,White,4,Non-Winner,Francey,Dead End
May Whitty,1937,White,5,Non-Winner,Mrs Bramson,Night Must Fall
Fay Bainter,1938,White,1,Winner,Belle Massey,Jezebel
Beulah Bondi,1938,White,2,Non-Winner,Mary Wilkins,Of Human Hearts
Billie Burke,1938,White,3,Non-Winner,Emily Kilbourne,Merrily We Live
Spring Byington,1938,White,4,Non-Winner,Penelope Penny VanderhofSycamore,You Cant Take It with You
Miliza Korjus,1938,White,5,Non-Winner,Carla Donner,The Great Waltz
Hattie McDaniel,1939,Non-White,1,Winner,Mammy,Gone with the Wind
Olivia de Havilland,1939,White,1,Non-Winner,Melanie Hamilton,Gone with the Wind
Geraldine Fitzgerald,1939,White,2,Non-Winner,Isabella Linton,Wuthering Heights
Edna May Oliver,1939,White,3,Non-Winner,Sarah McKlennar,Drums Along the Mohawk
Maria Ouspenskaya,1939,White,4,Non-Winner,Grandmother Janou,Love Affair
Jane Darwell,1940,White,1,Winner,Ma Joad,The Grapes of Wrath
Judith Anderson,1940,White,2,Non-Winner,Mrs Danvers,Rebecca
Ruth Hussey,1940,White,3,Non-Winner,Elizabeth Imbrie,The Philadelphia Story
Barbara ONeil,1940,White,4,Non-Winner,Francoise Duchess de Praslin,All This and Heaven Too
Marjorie Rambeau,1940,White,5,Non-Winner,Mamie Adams,Primrose Path
Mary Astor,1941,White,1,Winner,Sandra Kovak,The Great Lie
Sara Allgood,1941,White,2,Non-Winner,Beth Morgan,How Green Was My Valley
Patricia Collinge,1941,White,3,Non-Winner,Birdie BagtryHubbard,The Little Foxes
Teresa Wright,1941,White,4,Non-Winner,Alexandra Giddens,
Margaret Wycherly,1941,White,5,Non-Winner,Mary BrooksYork,Sergeant York
Teresa Wright,1942,White,1,Winner,Carol Beldon,Mrs Miniver
Gladys Cooper,1942,White,2,Non-Winner,Mrs Vale,Now Voyager
Agnes Moorehead,1942,White,3,Non-Winner,Fanny Minafer,The Magnificent Ambersons
Susan Peters,1942,White,4,Non-Winner,Kitty Chilcet,Random Harvest
May Whitty,1942,White,5,Non-Winner,Lady Beldon,Mrs Miniver
Katina Paxinou,1943,White,1,Winner,Pilar,For Whom the Bell Tolls
Gladys Cooper,1943,White,2,Non-Winner,Marie Therese Vauzou,The Song of Bernadette
Paulette Goddard,1943,White,3,Non-Winner,Joan ODoul,So Proudly We Hail
Anne Revere,1943,White,4,Non-Winner,Louise CasterotSoubirous,The Song of Bernadette
Lucile Watson,1943,White,5,Non-Winner,Fanny Farrelly,Watch on the Rhine
Ethel Barrymore,1944,White,1,Winner,Ma Mott,None but the Lonely Heart
Jennifer Jones,1944,White,2,Non-Winner,Jane Deborah Hilton,Since You Went Away
Angela Lansbury,1944,White,3,Non-Winner,Nancy Oliver,Gaslight
Aline MacMahon,1944,White,4,Non-Winner,Ling Tans Wife,Dragon Seed
Agnes Moorehead,1944,White,5,Non-Winner,Aspasia Conti,Mrs Parkington
Anne Revere,1945,White,1,Winner,Araminty Brown,National Velvet
Eve Arden,1945,White,2,Non-Winner,Ida Corwin,Mildred Pierce
Ann Blyth,1945,White,3,Non-Winner,Veda Pierce,
Angela Lansbury,1945,White,4,Non-Winner,Sibyl Vane,The Picture of Dorian Gray
Joan Lorring,1945,White,5,Non-Winner,Bessie Watty,The Corn is Green
Anne Baxter,1946,White,1,Winner,Sophie NelsonMacDonald,The Razors Edge
Ethel Barrymore,1946,White,2,Non-Winner,Mrs Warren,The Spiral Staircase
Lillian Gish,1946,White,3,Non-Winner,Laura Belle McCanles,Duel in the Sun
Flora Robson,1946,White,4,Non-Winner,Angelique Buiton,Saratoga Trunk
Gale Sondergaard,1946,White,5,Non-Winner,Lady Thiang,Anna and the King of Siam
Celeste Holm,1947,White,1,Winner,Anne Dettrey,Gentlemans Agreement
Ethel Barrymore,1947,White,2,Non-Winner,Sophie Horfield,The Paradine Case
Gloria Grahame,1947,White,3,Non-Winner,Ginny Tremaine,Crossfire
Marjorie Main,1947,White,4,Non-Winner,Ma Kettle,The Egg and I
Anne Revere,1947,White,5,Non-Winner,Mrs Green,Gentlemans Agreement
Claire Trevor,1948,White,1,Winner,Gaye Dawn,Key Largo
Barbara Bel Geddes,1948,White,2,Non-Winner,Katrin Hanson,I Remember Mama
Ellen Corby,1948,White,3,Non-Winner,Trina,
Agnes Moorehead,1948,White,4,Non-Winner,Aggie McDonald,Johnny Belinda
Jean Simmons,1948,White,5,Non-Winner,Ophelia,Hamlet
Ethel Waters,1949,Non-White,1,Non-Winner,Dicey Johnson,Pinky
Mercedes McCambridge,1949,White,1,Winner,Sadie Burke,All the Kings Men
Ethel Barrymore,1949,White,2,Non-Winner,Miss Em,Pinky
Celeste Holm,1949,White,3,Non-Winner,Sister Scholastica,Come to the Stable
Elsa Lanchester,1949,White,4,Non-Winner,Amelia Potts,
Josephine Hull,1950,White,1,Winner,Veta Louise Simmons,Harvey
Hope Emerson,1950,White,2,Non-Winner,Evelyn Harper,Caged
Celeste Holm,1950,White,3,Non-Winner,Karen Richards,All About Eve
Nancy Olson,1950,White,4,Non-Winner,Betty Schaefer,Sunset Boulevard
Thelma Ritter,1950,White,5,Non-Winner,Birdie Coonan,All About Eve
Kim Hunter,1951,White,1,Winner,Stella Kowalski,A Streetcar Named Desire
Joan Blondell,1951,White,2,Non-Winner,Annie Rawlins,The Blue Veil
Mildred Dunnock,1951,White,3,Non-Winner,Linda Loman,Death of a Salesman
Lee Grant,1951,White,4,Non-Winner,The Shoplifter,Detective Story
Thelma Ritter,1951,White,5,Non-Winner,Ellen McNulty,The Mating Season
Gloria Grahame,1952,White,1,Winner,Rosemary Bartlow,The Bad and the Beautiful
Jean Hagen,1952,White,2,Non-Winner,Lina Lamont,Singin in the Rain
Colette Marchand,1952,White,3,Non-Winner,Marie Charlet,Moulin Rouge
Terry Moore,1952,White,4,Non-Winner,Marie Buckholder,Come Back Little Sheba
Thelma Ritter,1952,White,5,Non-Winner,Clancy,With a Song in My Heart
Donna Reed,1953,White,1,Winner,Alma BurkeLorene,From Here to Eternity
Grace Kelly,1953,White,2,Non-Winner,Linda Nordley,Mogambo
Geraldine Page,1953,White,3,Non-Winner,Angie Lowe,Hondo
Marjorie Rambeau,1953,White,4,Non-Winner,Mrs Stewart,Torch Song
Thelma Ritter,1953,White,5,Non-Winner,Moe Williams,Pickup on South Street
Katy Jurado,1954,Non-White,1,Non-Winner,Seora Devereaux,Broken Lance
Eva Marie Saint,1954,White,1,Winner,Edie Doyle,On the Waterfront
Nina Foch,1954,White,2,Non-Winner,Erica Martin,Executive Suite
Jan Sterling,1954,White,3,Non-Winner,Sally McKee,The High and the Mighty
Claire Trevor,1954,White,4,Non-Winner,May Holst,
Jo Van Fleet,1955,White,1,Winner,Cathy AmesKate Trask,East of Eden
Betsy Blair,1955,White,2,Non-Winner,Clara Snyder,Marty
Peggy Lee,1955,White,3,Non-Winner,Rose Hopkins,Pete Kellys Blues
Marisa Pavan,1955,White,4,Non-Winner,Rosa Delle Rose,The Rose Tattoo
Natalie Wood,1955,White,5,Non-Winner,Judy,Rebel Without a Cause
Dorothy Malone,1956,White,1,Winner,Marylee Hadley,Written on the Wind
Mildred Dunnock,1956,White,2,Non-Winner,Rose Comfort,Baby Doll
Eileen Heckart,1956,White,3,Non-Winner,Hortense Daigle,The Bad Seed
Mercedes McCambridge,1956,White,4,Non-Winner,Luz Benedict,Giant
Patty McCormack,1956,White,5,Non-Winner,Rhoda Penmark,The Bad Seed
Miyoshi Umeki,1957,Non-White,1,Winner,Katsumi Kelly,Sayonara
Carolyn Jones,1957,White,1,Non-Winner,The Existentialist,The Bachelor Party
Elsa Lanchester,1957,White,2,Non-Winner,Miss Plimsoll,Witness for the Prosecution
Hope Lange,1957,White,3,Non-Winner,Selena Cross,Peyton Place
Diane Varsi,1957,White,4,Non-Winner,Allison MacKenzie,
Wendy Hiller,1958,White,1,Winner,Pat Cooper,Separate Tables
Peggy Cass,1958,White,2,Non-Winner,Agnes Gooch,Auntie Mame
Martha Hyer,1958,White,3,Non-Winner,Gwen French,Some Came Running
Maureen Stapleton,1958,White,4,Non-Winner,Fay Doyle,Lonelyhearts
Cara Williams,1958,White,5,Non-Winner,Billys Mother,The Defiant Ones
Juanita Moore,1959,Non-White,1,Non-Winner,Annie Johnson,
Shelley Winters,1959,White,1,Winner,Petronella van Daan,The Diary of Anne Frank
Hermione Baddeley,1959,White,2,Non-Winner,Elspeth,Room at the Top
Susan Kohner,1959,White,3,Non-Winner,Sarah Jane Johnson,Imitation of Life
Thelma Ritter,1959,White,4,Non-Winner,Alma,Pillow Talk
Shirley Jones,1960,White,1,Winner,Lulu Baines,Elmer Gantry
Glynis Johns,1960,White,2,Non-Winner,Mrs Firth,The Sundowners
Shirley Knight,1960,White,3,Non-Winner,Reenie Flood,The Dark at the Top of the Stairs
Janet Leigh,1960,White,4,Non-Winner,Marion Crane,Psycho
Mary Ure,1960,White,5,Non-Winner,Clara Dawes,Sons and Lovers
Rita Moreno,1961,Non-White,1,Winner,Anita del Carmen,West Side Story
Fay Bainter,1961,White,1,Non-Winner,Amelia Tilford,The Childrens Hour
Judy Garland,1961,White,2,Non-Winner,Irene HoffmanWallner,Judgment at Nuremberg
Lotte Lenya,1961,White,3,Non-Winner,Magda TerribiliGonzales,The Roman Spring of Mrs Stone
Una Merkel,1961,White,4,Non-Winner,Mrs Winemiller,Summer and Smoke
Patty Duke,1962,White,1,Winner,Helen Keller,The Miracle Worker
Mary Badham,1962,White,2,Non-Winner,Jean Louise Scout Finch,To Kill a Mockingbird
Shirley Knight,1962,White,3,Non-Winner,Heavenly Finley,Sweet Bird of Youth
Angela Lansbury,1962,White,4,Non-Winner,Eleanor Iselin,The Manchurian Candidate
Thelma Ritter,1962,White,5,Non-Winner,Elizabeth McCartneyStroud,Birdman of Alcatraz
Margaret Rutherford,1963,White,1,Winner,The Duchess of Brighton,The VIPs
Diane Cilento,1963,White,2,Non-Winner,Molly Seagrim,Tom Jones
Edith Evans,1963,White,3,Non-Winner,Miss Western,
Joyce Redman,1963,White,4,Non-Winner,Mrs WatersJenny Jones,
Lilia Skala,1963,White,5,Non-Winner,Mother Maria Marthe,Lilies of the Field
Lila Kedrova,1964,White,1,Winner,Madame Hortense,Zorba the Greek
Gladys Cooper,1964,White,2,Non-Winner,Mrs Higgins,My Fair Lady
Edith Evans,1964,White,3,Non-Winner,Mrs St Maugham,The Chalk Garden
Grayson Hall,1964,White,4,Non-Winner,Judith Fellowes,The Night of the Iguana
Agnes Moorehead,1964,White,5,Non-Winner,Velma Cruther,HushHush Sweet Charlotte
Shelley Winters,1965,White,1,Winner,Roseann DArcey,A Patch of Blue
Ruth Gordon,1965,White,2,Non-Winner,Lucile CloverThe Dealer,Inside Daisy Clover
Joyce Redman,1965,White,3,Non-Winner,Emilia,Othello
Maggie Smith,1965,White,4,Non-Winner,Desdemona,
Peggy Wood,1965,White,5,Non-Winner,Mother Abbess,The Sound of Music
Jocelyne LaGarde,1966,Non-White,1,Non-Winner,Malama Kanakoa,Hawaii
Sandy Dennis,1966,White,1,Winner,Honey,Whos Afraid of Virginia Woolf
Wendy Hiller,1966,White,2,Non-Winner,Alice More,A Man for All Seasons
Vivien Merchant,1966,White,3,Non-Winner,Lily Clamacraft,Alfie
Geraldine Page,1966,White,4,Non-Winner,Margery Chanticleer,Youre a Big Boy Now
Carol Channing,1967,Non-White,1,Non-Winner,Muzzy van Hossmere,Thoroughly Modern Millie
Beah Richards,1967,Non-White,2,Non-Winner,Mary Prentice,Guess Whos Coming to Dinner
Estelle Parsons,1967,White,1,Winner,Blanche Barrow,Bonnie and Clyde
Mildred Natwick,1967,White,2,Non-Winner,Ethel Banks,Barefoot in the Park
Katharine Ross,1967,White,3,Non-Winner,Elaine Robinson,The Graduate
Ruth Gordon,1968,White,1,Winner,Minnie Castevet,Rosemarys Baby
Lynn Carlin,1968,White,2,Non-Winner,Maria Forst,Faces
Sondra Locke,1968,White,3,Non-Winner,Mick Kelly,The Heart Is a Lonely Hunter
Kay Medford,1968,White,4,Non-Winner,Rose SternBorach,Funny Girl
Estelle Parsons,1968,White,5,Non-Winner,Calla Mackie,Rachel Rachel
Goldie Hawn,1969,White,1,Winner,Toni Simmons,Cactus Flower
Catherine Burns,1969,White,2,Non-Winner,Rhoda,Last Summer
Dyan Cannon,1969,White,3,Non-Winner,Alice Henderson,Bob Carol Ted Alice
Sylvia Miles,1969,White,4,Non-Winner,Cass,Midnight Cowboy
Susannah York,1969,White,5,Non-Winner,Alice LeBlanc,They Shoot Horses Dont They
Helen Hayes,1970,White,1,Winner,Ada Quonsett,Airport
Karen Black,1970,White,2,Non-Winner,Rayette Dipesto,Five Easy Pieces
Lee Grant,1970,White,3,Non-Winner,Joyce Enders,The Landlord
Sally Kellerman,1970,White,4,Non-Winner,Margaret Houlihan,MASH
Maureen Stapleton,1970,White,5,Non-Winner,Inez Guerrero,Airport
Cloris Leachman,1971,White,1,Winner,Ruth Popper,The Last Picture Show
AnnMargret,1971,White,2,Non-Winner,Bobbie,Carnal Knowledge
Ellen Burstyn,1971,White,3,Non-Winner,Lois Farrow,The Last Picture Show
Barbara Harris,1971,White,4,Non-Winner,Allison Densmore,Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me
Margaret Leighton,1971,White,5,Non-Winner,Mrs Maudsley,The GoBetween
Eileen Heckart,1972,White,1,Winner,Mrs Baker,Butterflies Are Free
Jeannie Berlin,1972,White,2,Non-Winner,Lila Kolodny,The Heartbreak Kid
Geraldine Page,1972,White,3,Non-Winner,Gertrude Wilson,Pete n Tillie
Susan Tyrrell,1972,White,4,Non-Winner,Oma Lee Greer,Fat City
Shelley Winters,1972,White,5,Non-Winner,Belle Rosen,The Poseidon Adventure
Tatum ONeal,1973,White,1,Winner,Addie Loggins,Paper Moon
Linda Blair,1973,White,2,Non-Winner,Regan MacNeil,The Exorcist
Candy Clark,1973,White,3,Non-Winner,Debbie Dunham,American Graffiti
Madeline Kahn,1973,White,4,Non-Winner,Trixie Delight,Paper Moon
Sylvia Sidney,1973,White,5,Non-Winner,Mrs Pritchett,Summer Wishes Winter Dreams
Ingrid Bergman,1974,White,1,Winner,Greta Ohlsson,Murder on the Orient Express
Valentina Cortese,1974,White,2,Non-Winner,Sverine,Day for Night
Madeline Kahn,1974,White,3,Non-Winner,Lili von Shtupp,Blazing Saddles
Diane Ladd,1974,White,4,Non-Winner,Florence Flo Castleberry,Alice Doesnt Live Here Anymore
Talia Shire,1974,White,5,Non-Winner,Connie Corleone,The Godfather Part II
Lee Grant,1975,White,1,Winner,Felicia Karpf,Shampoo
Ronee Blakley,1975,White,2,Non-Winner,Barbara Jean,Nashville
Sylvia Miles,1975,White,3,Non-Winner,Jessie Halstead Florian,Farewell My Lovely
Lily Tomlin,1975,White,4,Non-Winner,Linnea Reese,Nashville
Brenda Vaccaro,1975,White,5,Non-Winner,Linda Riggs,Once Is Not Enough
Beatrice Straight,1976,White,1,Winner,Louise Schumacher,Network
Jane Alexander,1976,White,2,Non-Winner,Judy Hoback,All the Presidents Men
Jodie Foster,1976,White,3,Non-Winner,Iris Steensma,Taxi Driver
Lee Grant,1976,White,4,Non-Winner,Lillian Rosen,Voyage of the Damned
Piper Laurie,1976,White,5,Non-Winner,Margaret White,Carrie
Vanessa Redgrave,1977,White,1,Winner,Julia,Julia
Leslie Browne,1977,White,2,Non-Winner,Emilia Rodgers,The Turning Point
Quinn Cummings,1977,White,3,Non-Winner,Lucy McFadden,The Goodbye Girl
Melinda Dillon,1977,White,4,Non-Winner,Jillian Guiler,Close Encounters of the Third Kind
Tuesday Weld,1977,White,5,Non-Winner,Katherine Dunn,Looking for Mr Goodbar
Maggie Smith,1978,White,1,Winner,Diana Barrie,California Suite
Dyan Cannon,1978,White,2,Non-Winner,Julia Farnsworth,Heaven Can Wait
Penelope Milford,1978,White,3,Non-Winner,Vi Munson,Coming Home
Maureen Stapleton,1978,White,4,Non-Winner,Pearl,Interiors
Meryl Streep,1978,White,5,Non-Winner,Linda,The Deer Hunter
Meryl Streep,1979,White,1,Winner,Joanna Kramer,Kramer vs Kramer
Jane Alexander,1979,White,2,Non-Winner,Margaret Phelps,Kramer vs Kramer
Barbara Barrie,1979,White,3,Non-Winner,Evelyn Stoller,Breaking Away
Candice Bergen,1979,White,4,Non-Winner,Jessica Potter,Starting Over
Mariel Hemingway,1979,White,5,Non-Winner,Tracy,Manhattan
Mary Steenburgen,1980,White,1,Winner,Lynda WestDummar,Melvin and Howard
Eileen Brennan,1980,White,2,Non-Winner,Doreen Lewis,Private Benjamin
Eva Le Gallienne,1980,White,3,Non-Winner,Pearl,Resurrection
Cathy Moriarty,1980,White,4,Non-Winner,Vicki ThailerLaMotta,Raging Bull
Diana Scarwid,1980,White,5,Non-Winner,Louise,Inside Moves
Maureen Stapleton,1981,White,1,Winner,Emma Goldman,Reds
Melinda Dillon,1981,White,2,Non-Winner,Teresa Perrone,Absence of Malice
Jane Fonda,1981,White,3,Non-Winner,Chelsea Thayer Wayne,On Golden Pond
Joan Hackett,1981,White,4,Non-Winner,Toby Landau,Only When I Laugh
Elizabeth McGovern,1981,White,5,Non-Winner,Evelyn Nesbit,Ragtime
Jessica Lange,1982,White,1,Winner,Julie Nichols,Tootsie
Glenn Close,1982,White,2,Non-Winner,Jenny Fields,The World According to Garp
Teri Garr,1982,White,3,Non-Winner,Sandy Lester,Tootsie
Kim Stanley,1982,White,4,Non-Winner,Lillian Farmer,Frances
Lesley Ann Warren,1982,White,5,Non-Winner,Norma Cassidy,VictorVictoria
Alfre Woodard,1983,Non-White,1,Non-Winner,Beatrice Geechee,Cross Creek
